Rahmanullah Gurbaz, Right hand Bat, Wicketkeeper, Wicketkeeper Batter, Afghanistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383237.png)"
Rohit Gurunath Sharma, Right hand Bat, Right arm Offbreak, Top order Batter, India,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316584.png)"
Travis Michael Head, Left hand Bat, Right arm Offbreak, Wicketkeeper, Australia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321584.png)"
Quinton de Kock, Left hand Bat, Wicketkeeper, Wicketkeeper Batter, South Africa,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316668.png)"
Ibrahim Zadran, Right hand Bat, Right arm Medium fast, Opening Batter, Afghanistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383225.png)"
Nicholas Pooran, Left hand Bat, Right arm Offbreak, Wicketkeeper, West Indies,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320109.png)"
Andries Gustav Stephanus Gous, Right hand Bat, Wicketkeeper, Wicketkeeper Batter, United States of America,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/382800/382832.png)"
Joseph Charles Buttler, Right hand Bat, Wicketkeeper, Wicketkeeper Batter, England,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383143.png)"
Suryakumar Ashok Yadav, Right hand Bat, Right arm Medium, Batter, India,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331163.png)"
Heinrich Klaasen, Right hand Bat, Right arm Offbreak, Wicketkeeper Batter, South Africa,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322073.png)"
Philip Dean Salt, Right hand Bat, Right arm Offbreak, Wicketkeeper Batter, England,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383141.png)"
David Andrew Warner, Left hand Bat, Legbreak, Opening Batter, Australia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316589.png)"
Rishabh Rajendra Pant, Left hand Bat, Wicketkeeper, Wicketkeeper Batter, India,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323000/323036.png)"
Marcus Peter Stoinis, Right hand Bat, Batting Allrounder, Right arm Medium, Australia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321596.png)"
David Andrew Miller, Left hand Bat, Right arm Offbreak, Middle order Batter, South Africa,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316655.png)"
Tristan Stubbs, Right hand Bat, Right arm Offbreak, Wicketkeeper, South Africa,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348500/348577.png)"
